Intro_text,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,Intros.thisRepN,Intros.thisTrialN,Intros.thisN,Intros.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,p_choice.keys,p_choice.rt,p_choice.duration,thisRow.t,notes,dateTime,consent.started,text_9.started,button.started,consent.stopped,button.numClicks,button.timesOn,button.timesOff,instructions1.started,Intro_text_show.started,Continue_txt.started,key_resp.started,instructions1.stopped,Intros.key_resp.keys,Intros.key_resp.rt,Intros.key_resp.duration,instructions_t1_target_on_choice.started,fixation_inst_5a.started,intro_sure.started,intro_sure_txt.started,intro_gambletop.started,intro_gambletop_txt.started,intro_gambletop_p.started,intro_gamblelow.started,intro_gamblelow_txt.started,intro_gamblelow_p.started,text_inst_5a.started,choice_inst_5a.started,instructions_t1_target_on_choice.stopped,choice_inst_5a.keys,choice_inst_5a.rt,choice_inst_5a.duration,instructions_t1_chosen_gamble.started,fixation_inst_5a_2.started,intro_sure_2.started,intro_sure_txt_2.started,instructions_t1_chosen_gamble.stopped,instructions_t1_outcome.started,total_prompt_inst_5a.started,p_outcome_square_2.started,intro_outcome_text.started,intro_next_trial_txt_2.started,intro_next_trial_input_2.started,instructions_t1_outcome.stopped,intro_next_trial_input_2.keys,intro_next_trial_input_2.rt,intro_next_trial_input_2.duration,intro_iti.started,text_4.started,intro_iti.stopped,instructions_t2_target_on_choice.started,fixation_inst_5b.started,intro_sure_3.started,intro_gambletop_2.started,intro_gamblelow_2.started,intro_sure_txt_3.started,intro_gambletop_txt_2.started,intro_gambletop_p_2.started,intro_gamblelow_txt_2.started,intro_gamblelow_p_2.started,text_inst_5b.started,choice_inst_5b.started,instructions_t2_target_on_choice.stopped,choice_inst_5b.keys,choice_inst_5b.rt,choice_inst_5b.duration,instructions_t2_chosen_gamble.started,fixation_inst_5a_3.started,intro_gambletop_3.started,intro_gamblelow_3.started,intro_gambletop_txt_3.started,intro_gambletop_p_3.started,intro_gamblelow_txt_3.started,intro_gamblelow_p_3.started,instructions_t2_chosen_gamble.stopped,instructions_t2_outcome.started,total_prompt_inst_5a_2.started,p_outcome_square_3.started,intro_outcome_text_3.started,intro_next_trial_txt.started,intro_next_trial_input.started,instructions_t2_outcome.stopped,intro_next_trial_input.keys,intro_next_trial_input.rt,intro_next_trial_input.duration,instructions6.started,instructions_text.started,Continue_txt_2.started,key_resp_inst_5.started,instructions6.stopped,key_resp_inst_5.keys,key_resp_inst_5.rt,key_resp_inst_5.duration,instructions7.started,total_prompt_inst_5a_3.started,fixation_inst_5a_6.started,prog_5.started,p_outcome_square_4.started,intro_outcome_text_4.started,instrutions_text.started,key_resp_inst_6.started,arrow1.started,arrow2.started,instructions7.stopped,key_resp_inst_6.keys,key_resp_inst_6.rt,key_resp_inst_6.duration,instructions8.started,instructions_text_3.started,Continue_txt_3.started,key_resp_inst_7.started,instructions8.stopped,key_resp_inst_7.keys,key_resp_inst_7.rt,key_resp_inst_7.duration,happy_overall.started,question_3.started,happiness_rating_overall.started,low_end_text_3.started,high_end_text_3.started,key_resp_7.started,exit_text_4.started,happy_overall.stopped,happiness_rating_overall.response,happiness_rating_overall.rt,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,instructions10.started,instructions_text_6.started,Continue_txt_4.started,key_resp_inst_8.started,instructions10.stopped,key_resp_inst_8.keys,key_resp_inst_8.rt,key_resp_inst_8.duration,happy_base.started,question_5.started,happiness_rating_baseline.started,low_end_text_5.started,high_end_text_5.started,exit_text_3.started,key_resp_8.started,happy_base.stopped,happiness_rating_baseline.response,happiness_rating_baseline.rt,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instructions10_2.started,instructions_text_2.started,Continue_txt_6.started,key_resp_inst_11.started,instructions10_2.stopped,key_resp_inst_11.keys,key_resp_inst_11.rt,key_resp_inst_11.duration,instructions11.started,instructions_text_7.started,Continue_txt_5.started,key_resp_inst_9.started,instructions11.stopped,key_resp_inst_9.keys,key_resp_inst_9.rt,key_resp_inst_9.duration,first_delay.started,text_3.started,first_delay.stopped,p_options_show.started,p_fixation_cross_4.started,p_box1.started,p_box2.started,p_box3.started,p_box4.started,p_box1_mag.started,p_box1_P.started,p_box2_mag.started,p_box2_P.started,p_box3_mag.started,p_box3_P.started,p_box4_mag.started,p_box4_P.started,p_choice.started,p_options_show.stopped,practice_trials.p_choice.keys,practice_trials.p_choice.rt,practice_trials.p_choice.duration,choice_prac,p_chosen_option.started,fixation_5.started,p_box1_2.started,p_box2_2.started,p_box3_2.started,p_box4_2.started,p_box1_mag_2.started,p_box1_P_2.started,p_box2_mag_2.started,p_box2_P_2.started,p_box3_mag_2.started,p_box3_P_2.started,p_box4_mag_2.started,p_box4_P_2.started,p_chosen_option.stopped,current_money_prac,outcome_prac,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,2026-04-17_16.17.49,0.05982141699496424,0.10025137499906123,0.10025137499906123,0.4326242499955697,1,[0.3319159579987172],[0.33191933300258825],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_16h17.44.141,Mood4,2024.2.4,2026-04-17 16h17.50.429867 -0400,
"Welcome to the reward and subjective well-being task!

In this experiment, you will have the opportunity to earn money by playing a gambling task. You will also be asked to rate your happiness at various points as you progress through the task.",0,0,0,return,0.13604341699829092,0.09035637500346638,0,0,0,0,,,,,,,,0.4572829999960959,,,,,,,,,,0.44771133399626706,0.4572829999960959,0.4572829999960959,0.4572829999960959,0.6885631669938448,return,0.13604341699829092,0.09035637500346638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_16h17.44.141,Mood4,2024.2.4,2026-04-17 16h17.50.429867 -0400,
"In the next few steps, we will guide you through the task and how it works, you will then do a minimum of 10 practice trials, and finally you will start the task.",1,1,0,return,0.26470829200115986,0.07452650000050198,0,1,1,1,,,,,,,,0.7013614999959827,,,,,,,,,,0.6919382089981809,0.7013614999959827,0.7013614999959827,0.7013614999959827,1.0476063339956454,return,0.26470829200115986,0.07452650000050198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_16h17.44.141,Mood4,2024.2.4,2026-04-17 16h17.50.429867 -0400,
"On each trial, you will have the opportunity to earn money. You will be presented with two options, both options will be gambles. Each gamble probability will be indicated by the proportion of the pie that is colored green, each gamble reward size will be indicated by the size of the pie. The probabilities will also be displayed as text. Each gamble has two possible outcomes: either you win and gain the indicated reward, either you lose and earn $0. ",2,2,0,return,0.06432629100163467,0.060735166996892076,0,2,2,2,,,,,,,,1.0663151249973453,,,,,,,,,,1.056236499993247,1.0663151249973453,1.0663151249973453,1.0663151249973453,1.1993109169998206,return,0.06432629100163467,0.060735166996892076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_16h17.44.141,Mood4,2024.2.4,2026-04-17 16h17.50.429867 -0400,
"The gamble outcome rewards are BIG or MEDIUM, although a proportion of the gambles will have a SMALL reward with a certain (100%) probability.
You will begin the task with $5. The outcome of the choices you make from then on will count for ADDITIONAL money.
Please select your gamble choice by pressing the LEFT or RIGHT arrow keys. Once you’ve made your choice the outcome will be applied to your total. 
On the next screen, you will do a few introductory trials.",3,3,0,return,0.046988916998088825,0.05943808300071396,0,3,3,3,,,,,,,,1.2190908749980736,,,,,,,,,,1.2100683339958778,1.2190908749980736,1.2190908749980736,1.2190908749980736,1.332426458997361,return,0.046988916998088825,0.05943808300071396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_16h17.44.141,Mood4,2024.2.4,2026-04-17 16h17.50.429867 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.336241416996927,1.3491710839953157,1.3491710839953157,1.3491710839953157,1.3491710839953157,1.3491710839953157,1.3491710839953157,1.3491710839953157,1.3491710839953157,1.3491710839953157,1.3491710839953157,1.3491710839953157,2.325055833993247,left,0.9688057500025025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_16h17.44.141,Mood4,2024.2.4,2026-04-17 16h17.50.429867 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.325880499993218,2.35223354199843,2.35223354199843,2.35223354199843,3.312909749998653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_16h17.44.141,Mood4,2024.2.4,2026-04-17 16h17.50.429867 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3133564999952796,3.3228635839986964,3.3228635839986964,3.3228635839986964,3.3228635839986964,3.3228635839986964,4.405418958995142,space,1.0803559580017463,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_16h17.44.141,Mood4,2024.2.4,2026-04-17 16h17.50.429867 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.405442208997556,4.4160028339974815,5.396802458999446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_16h17.44.141,Mood4,2024.2.4,2026-04-17 16h17.50.429867 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.400013749997015,5.41412333399785,5.41412333399785,5.41412333399785,5.41412333399785,5.41412333399785,5.41412333399785,5.41412333399785,5.41412333399785,5.41412333399785,5.41412333399785,5.41412333399785,6.3746525419992395,right,0.9549014170042938,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_16h17.44.141,Mood4,2024.2.4,2026-04-17 16h17.50.429867 -0400,
